scenario,parameter_set,time_h,population,radius_left_m,radius_right_m,number_density_per_m4
effective_cnt,30,1.0,beta,3.605001850443328e-09,3.732131966147225e-09,0.0
effective_cnt,30,1.0,beta,3.732131966147225e-09,3.86374531569938e-09,0.0
effective_cnt,30,1.0,beta,3.86374531569938e-09,4.000000000000001e-09,0.0
effective_cnt,30,1.0,beta,4.000000000000001e-09,4.141059695365514e-09,0.0
effective_cnt,30,1.0,beta,4.141059695365514e-09,4.287093850145181e-09,0.0
effective_cnt,30,1.0,beta,4.287093850145181e-09,4.438277888271374e-09,0.0
effective_cnt,30,1.0,beta,4.438277888271374e-09,4.594793419988137e-09,0.0
effective_cnt,30,1.0,beta,4.594793419988137e-09,4.7568284600108855e-09,0.0
effective_cnt,30,1.0,beta,4.7568284600108855e-09,4.924577653379671e-09,0.0
effective_cnt,30,1.0,beta,4.924577653379671e-09,5.098242509277059e-09,0.0
effective_cnt,30,1.0,beta,5.098242509277059e-09,5.27803164309157e-09,0.0
effective_cnt,30,1.0,beta,5.27803164309157e-09,5.464161027017579e-09,0.0
effective_cnt,30,1.0,beta,5.464161027017579e-09,5.656854249492382e-09,0.0
effective_cnt,30,1.0,beta,5.656854249492382e-09,5.856342783782508e-09,0.0
effective_cnt,30,1.0,beta,5.856342783782508e-09,6.0628662660416044e-09,0.0
effective_cnt,30,1.0,beta,6.0628662660416044e-09,6.276672783173998e-09,0.0
effective_cnt,30,1.0,beta,6.276672783173998e-09,6.4980191708498814e-09,0.0
effective_cnt,30,1.0,beta,6.4980191708498814e-09,6.7271713220297186e-09,0.0
effective_cnt,30,1.0,beta,6.7271713220297186e-09,6.9644045063690015e-09,0.0
effective_cnt,30,1.0,beta,6.9644045063690015e-09,7.210003700886657e-09,0.0
effective_cnt,30,1.0,beta,7.210003700886657e-09,7.46426393229445e-09,0.0
effective_cnt,30,1.0,beta,7.46426393229445e-09,7.727490631398761e-09,0.0
effective_cnt,30,1.0,beta,7.727490631398761e-09,8.000000000000004e-09,0.0
effective_cnt,30,1.0,beta,8.000000000000004e-09,8.28211939073103e-09,0.0
effective_cnt,30,1.0,beta,8.28211939073103e-09,8.574187700290363e-09,0.0
effective_cnt,30,1.0,beta,8.574187700290363e-09,8.876555776542749e-09,0.0
effective_cnt,30,1.0,beta,8.876555776542749e-09,9.189586839976276e-09,0.0
effective_cnt,30,1.0,beta,9.189586839976276e-09,9.513656920021773e-09,0.0
effective_cnt,30,1.0,beta,9.513656920021773e-09,9.849155306759342e-09,0.0
effective_cnt,30,1.0,beta,9.849155306759342e-09,1.0196485018554098e-08,0.0
effective_cnt,30,1.0,beta,1.0196485018554098e-08,1.0556063286183163e-08,0.0
effective_cnt,30,1.0,beta,1.0556063286183163e-08,1.092832205403516e-08,0.0
effective_cnt,30,1.0,beta,1.092832205403516e-08,1.1313708498984766e-08,0.0
effective_cnt,30,1.0,beta,1.1313708498984766e-08,1.1712685567565018e-08,0.0
effective_cnt,30,1.0,beta,1.1712685567565018e-08,1.2125732532083186e-08,0.0
effective_cnt,30,1.0,beta,1.2125732532083186e-08,1.2553345566348024e-08,0.0
effective_cnt,30,1.0,beta,1.2553345566348024e-08,1.2996038341699765e-08,0.0
effective_cnt,30,1.0,beta,1.2996038341699765e-08,1.3454342644059439e-08,0.0
effective_cnt,30,1.0,beta,1.3454342644059439e-08,1.3928809012738005e-08,0.0
effective_cnt,30,1.0,beta,1.3928809012738005e-08,1.4420007401773285e-08,0.0
effective_cnt,30,1.0,beta,1.4420007401773285e-08,1.492852786458893e-08,0.0
effective_cnt,30,1.0,beta,1.492852786458893e-08,1.5454981262797523e-08,0.0
effective_cnt,30,1.0,beta,1.5454981262797523e-08,1.6000000000000008e-08,0.0
effective_cnt,30,1.0,beta,1.6000000000000008e-08,1.6564238781462064e-08,0.0
effective_cnt,30,1.0,beta,1.6564238781462064e-08,1.7148375400580694e-08,0.0
effective_cnt,30,1.0,beta,1.7148375400580694e-08,1.7753111553085538e-08,0.0
effective_cnt,30,1.0,beta,1.7753111553085538e-08,1.8379173679952556e-08,0.0
effective_cnt,30,1.0,beta,1.8379173679952556e-08,1.902731384004355e-08,0.0
effective_cnt,30,1.0,beta,1.902731384004355e-08,1.9698310613518687e-08,0.0
effective_cnt,30,1.0,beta,1.9698310613518687e-08,2.03929700371082e-08,0.0
effective_cnt,30,1.0,beta,2.03929700371082e-08,2.111212657236633e-08,0.0
effective_cnt,30,1.0,beta,2.111212657236633e-08,2.1856644108070324e-08,0.0
effective_cnt,30,1.0,beta,2.1856644108070324e-08,2.2627416997969535e-08,0.0
effective_cnt,30,1.0,beta,2.2627416997969535e-08,2.342537113513004e-08,0.0
effective_cnt,30,1.0,beta,2.342537113513004e-08,2.4251465064166375e-08,0.0
effective_cnt,30,1.0,beta,2.4251465064166375e-08,2.510669113269605e-08,0.0
effective_cnt,30,1.0,beta,2.510669113269605e-08,2.5992076683399532e-08,0.0
effective_cnt,30,1.0,beta,2.5992076683399532e-08,2.6908685288118884e-08,0.0
effective_cnt,30,1.0,beta,2.6908685288118884e-08,2.7857618025476012e-08,0.0
effective_cnt,30,1.0,beta,2.7857618025476012e-08,2.8840014803546574e-08,0.0
effective_cnt,30,1.0,beta,2.8840014803546574e-08,2.985705572917787e-08,0.0
effective_cnt,30,1.0,beta,2.985705572917787e-08,3.090996252559505e-08,0.0
effective_cnt,30,1.0,beta,3.090996252559505e-08,3.200000000000002e-08,0.0
effective_cnt,30,1.0,beta,3.200000000000002e-08,3.312847756292413e-08,0.0
effective_cnt,30,1.0,beta,3.312847756292413e-08,3.4296750801161394e-08,0.0
effective_cnt,30,1.0,beta,3.4296750801161394e-08,3.550622310617108e-08,0.0
effective_cnt,30,1.0,beta,3.550622310617108e-08,3.675834735990512e-08,0.0
effective_cnt,30,1.0,beta,3.675834735990512e-08,3.8054627680087104e-08,0.0
effective_cnt,30,1.0,beta,3.8054627680087104e-08,3.939662122703738e-08,0.0
effective_cnt,30,1.0,beta,3.939662122703738e-08,4.0785940074216404e-08,0.0
effective_cnt,30,1.0,beta,4.0785940074216404e-08,4.2224253144732665e-08,0.0
effective_cnt,30,1.0,beta,4.2224253144732665e-08,4.3713288216140654e-08,0.0
effective_cnt,30,1.0,beta,4.3713288216140654e-08,4.5254833995939076e-08,0.0
effective_cnt,30,1.0,beta,4.5254833995939076e-08,4.685074227026009e-08,0.0
effective_cnt,30,1.0,beta,4.685074227026009e-08,4.8502930128332756e-08,0.0
effective_cnt,30,1.0,beta,4.8502930128332756e-08,5.021338226539211e-08,0.0
effective_cnt,30,1.0,beta,5.021338226539211e-08,5.198415336679907e-08,0.0
effective_cnt,30,1.0,beta,5.198415336679907e-08,5.3817370576237775e-08,0.0
effective_cnt,30,1.0,beta,5.3817370576237775e-08,5.571523605095203e-08,0.0
effective_cnt,30,1.0,beta,5.571523605095203e-08,5.768002960709316e-08,0.0
effective_cnt,30,1.0,beta,5.768002960709316e-08,5.971411145835575e-08,0.0
effective_cnt,30,1.0,beta,5.971411145835575e-08,6.181992505119012e-08,0.0
effective_cnt,30,1.0,beta,6.181992505119012e-08,6.400000000000006e-08,0.0
effective_cnt,30,1.0,beta,6.400000000000006e-08,6.625695512584827e-08,0.0
effective_cnt,30,1.0,beta,6.625695512584827e-08,6.859350160232279e-08,0.0
effective_cnt,30,1.0,beta,6.859350160232279e-08,7.101244621234216e-08,0.0
effective_cnt,30,1.0,beta,7.101244621234216e-08,7.351669471981024e-08,0.0
effective_cnt,30,1.0,beta,7.351669471981024e-08,7.610925536017421e-08,0.0
effective_cnt,30,1.0,beta,7.610925536017421e-08,7.879324245407478e-08,0.0
effective_cnt,30,1.0,beta,7.879324245407478e-08,8.157188014843281e-08,0.0
effective_cnt,30,1.0,beta,8.157188014843281e-08,8.444850628946534e-08,0.0
effective_cnt,30,1.0,beta,8.444850628946534e-08,8.742657643228132e-08,0.0
effective_cnt,30,1.0,beta,8.742657643228132e-08,9.050966799187817e-08,0.0
effective_cnt,30,1.0,beta,9.050966799187817e-08,9.370148454052019e-08,0.0
effective_cnt,30,1.0,beta,9.370148454052019e-08,9.700586025666553e-08,0.0
effective_cnt,30,1.0,beta,9.700586025666553e-08,1.0042676453078402e-07,0.0
effective_cnt,30,1.0,beta,1.0042676453078402e-07,1.0396830673359816e-07,0.0
effective_cnt,30,1.0,beta,1.0396830673359816e-07,1.0763474115247556e-07,0.0
effective_cnt,30,1.0,beta,1.0763474115247556e-07,1.1143047210190408e-07,0.0
effective_cnt,30,1.0,beta,1.1143047210190408e-07,1.1536005921418633e-07,0.0
effective_cnt,30,1.0,beta,1.1536005921418633e-07,1.1942822291671127e-07,0.0
effective_cnt,30,1.0,beta,1.1942822291671127e-07,1.2363985010238024e-07,0.0
effective_cnt,30,1.0,beta,1.2363985010238024e-07,1.28e-07,0.0
effective_cnt,30,2.0,beta,1e-09,1.0352649238413784e-09,0.0
effective_cnt,30,2.0,beta,1.0352649238413784e-09,1.071773462536295e-09,0.0
effective_cnt,30,2.0,beta,1.071773462536295e-09,1.1095694720678432e-09,0.0
effective_cnt,30,2.0,beta,1.1095694720678432e-09,1.1486983549970341e-09,0.0
effective_cnt,30,2.0,beta,1.1486983549970341e-09,1.1892071150027212e-09,0.0
effective_cnt,30,2.0,beta,1.1892071150027212e-09,1.2311444133449173e-09,0.0
effective_cnt,30,2.0,beta,1.2311444133449173e-09,1.2745606273192643e-09,0.0
effective_cnt,30,2.0,beta,1.2745606273192643e-09,1.3195079107728923e-09,0.0
effective_cnt,30,2.0,beta,1.3195079107728923e-09,1.3660402567543944e-09,0.0
effective_cnt,30,2.0,beta,1.3660402567543944e-09,1.4142135623730951e-09,0.0
effective_cnt,30,2.0,beta,1.4142135623730951e-09,1.4640856959456267e-09,0.0
effective_cnt,30,2.0,beta,1.4640856959456267e-09,1.5157165665104007e-09,0.0
effective_cnt,30,2.0,beta,1.5157165665104007e-09,1.569168195793499e-09,0.0
effective_cnt,30,2.0,beta,1.569168195793499e-09,1.62450479271247e-09,0.0
effective_cnt,30,2.0,beta,1.62450479271247e-09,1.6817928305074292e-09,0.0
effective_cnt,30,2.0,beta,1.6817928305074292e-09,1.74110112659225e-09,0.0
effective_cnt,30,2.0,beta,1.74110112659225e-09,1.8025009252216637e-09,0.0
effective_cnt,30,2.0,beta,1.8025009252216637e-09,1.866065983073612e-09,0.0
effective_cnt,30,2.0,beta,1.866065983073612e-09,1.93187265784969e-09,0.0
effective_cnt,30,2.0,beta,1.93187265784969e-09,2e-09,0.0
effective_cnt,30,2.0,beta,2e-09,2.070529847682757e-09,0.0
effective_cnt,30,2.0,beta,2.070529847682757e-09,2.14354692507259e-09,0.0
effective_cnt,30,2.0,beta,2.14354692507259e-09,2.219138944135687e-09,0.0
effective_cnt,30,2.0,beta,2.219138944135687e-09,2.2973967099940687e-09,0.0
effective_cnt,30,2.0,beta,2.2973967099940687e-09,2.3784142300054427e-09,0.0
effective_cnt,30,2.0,beta,2.3784142300054427e-09,2.462288826689835e-09,0.0
effective_cnt,30,2.0,beta,2.462288826689835e-09,2.549121254638529e-09,0.0
effective_cnt,30,2.0,beta,2.549121254638529e-09,2.6390158215457845e-09,0.0
effective_cnt,30,2.0,beta,2.6390158215457845e-09,2.7320805135087893e-09,0.0
effective_cnt,30,2.0,beta,2.7320805135087893e-09,2.8284271247461906e-09,0.0
effective_cnt,30,2.0,beta,2.8284271247461906e-09,2.9281713918912538e-09,0.0
effective_cnt,30,2.0,beta,2.9281713918912538e-09,3.031433133020802e-09,0.0
effective_cnt,30,2.0,beta,3.031433133020802e-09,3.1383363915869985e-09,0.0
effective_cnt,30,2.0,beta,3.1383363915869985e-09,3.2490095854249403e-09,0.0
effective_cnt,30,2.0,beta,3.2490095854249403e-09,3.363585661014859e-09,0.0
effective_cnt,30,2.0,beta,3.363585661014859e-09,3.4822022531845003e-09,0.0
effective_cnt,30,2.0,beta,3.4822022531845003e-09,3.605001850443328e-09,0.0
effective_cnt,30,2.0,beta,3.605001850443328e-09,3.732131966147225e-09,0.0
effective_cnt,30,2.0,beta,3.732131966147225e-09,3.86374531569938e-09,0.0
effective_cnt,30,2.0,beta,3.86374531569938e-09,4.000000000000001e-09,0.0
effective_cnt,30,2.0,beta,4.000000000000001e-09,4.141059695365514e-09,0.0
effective_cnt,30,2.0,beta,4.141059695365514e-09,4.287093850145181e-09,0.0
effective_cnt,30,2.0,beta,4.287093850145181e-09,4.438277888271374e-09,0.0
effective_cnt,30,2.0,beta,4.438277888271374e-09,4.594793419988137e-09,0.0
effective_cnt,30,2.0,beta,4.594793419988137e-09,4.7568284600108855e-09,0.0
effective_cnt,30,2.0,beta,4.7568284600108855e-09,4.924577653379671e-09,0.0
effective_cnt,30,2.0,beta,4.924577653379671e-09,5.098242509277059e-09,0.0
effective_cnt,30,2.0,beta,5.098242509277059e-09,5.27803164309157e-09,0.0
effective_cnt,30,2.0,beta,5.27803164309157e-09,5.464161027017579e-09,0.0
effective_cnt,30,2.0,beta,5.464161027017579e-09,5.656854249492382e-09,0.0
effective_cnt,30,2.0,beta,5.656854249492382e-09,5.856342783782508e-09,0.0
effective_cnt,30,2.0,beta,5.856342783782508e-09,6.0628662660416044e-09,0.0
effective_cnt,30,2.0,beta,6.0628662660416044e-09,6.276672783173998e-09,0.0
effective_cnt,30,2.0,beta,6.276672783173998e-09,6.4980191708498814e-09,0.0
effective_cnt,30,2.0,beta,6.4980191708498814e-09,6.7271713220297186e-09,0.0
effective_cnt,30,2.0,beta,6.7271713220297186e-09,6.9644045063690015e-09,0.0
effective_cnt,30,2.0,beta,6.9644045063690015e-09,7.210003700886657e-09,0.0
effective_cnt,30,2.0,beta,7.210003700886657e-09,7.46426393229445e-09,0.0
effective_cnt,30,2.0,beta,7.46426393229445e-09,7.727490631398761e-09,0.0
effective_cnt,30,2.0,beta,7.727490631398761e-09,8.000000000000004e-09,0.0
effective_cnt,30,2.0,beta,8.000000000000004e-09,8.28211939073103e-09,0.0
effective_cnt,30,2.0,beta,8.28211939073103e-09,8.574187700290363e-09,0.0
effective_cnt,30,2.0,beta,8.574187700290363e-09,8.876555776542749e-09,0.0
effective_cnt,30,2.0,beta,8.876555776542749e-09,9.189586839976276e-09,0.0
effective_cnt,30,2.0,beta,9.189586839976276e-09,9.513656920021773e-09,0.0
effective_cnt,30,2.0,beta,9.513656920021773e-09,9.849155306759342e-09,0.0
effective_cnt,30,2.0,beta,9.849155306759342e-09,1.0196485018554098e-08,0.0
effective_cnt,30,2.0,beta,1.0196485018554098e-08,1.0556063286183163e-08,0.0
effective_cnt,30,2.0,beta,1.0556063286183163e-08,1.092832205403516e-08,0.0
effective_cnt,30,2.0,beta,1.092832205403516e-08,1.1313708498984766e-08,0.0
effective_cnt,30,2.0,beta,1.1313708498984766e-08,1.1712685567565018e-08,0.0
effective_cnt,30,2.0,beta,1.1712685567565018e-08,1.2125732532083186e-08,0.0
effective_cnt,30,2.0,beta,1.2125732532083186e-08,1.2553345566348024e-08,0.0
effective_cnt,30,2.0,beta,1.2553345566348024e-08,1.2996038341699765e-08,0.0
effective_cnt,30,2.0,beta,1.2996038341699765e-08,1.3454342644059439e-08,0.0
effective_cnt,30,2.0,beta,1.3454342644059439e-08,1.3928809012738005e-08,0.0
effective_cnt,30,2.0,beta,1.3928809012738005e-08,1.4420007401773285e-08,0.0
effective_cnt,30,2.0,beta,1.4420007401773285e-08,1.492852786458893e-08,0.0
effective_cnt,30,2.0,beta,1.492852786458893e-08,1.5454981262797523e-08,0.0
effective_cnt,30,2.0,beta,1.5454981262797523e-08,1.6000000000000008e-08,0.0
effective_cnt,30,2.0,beta,1.6000000000000008e-08,1.6564238781462064e-08,0.0
effective_cnt,30,2.0,beta,1.6564238781462064e-08,1.7148375400580694e-08,0.0
effective_cnt,30,2.0,beta,1.7148375400580694e-08,1.7753111553085538e-08,0.0
effective_cnt,30,2.0,beta,1.7753111553085538e-08,1.8379173679952556e-08,0.0
effective_cnt,30,2.0,beta,1.8379173679952556e-08,1.902731384004355e-08,0.0
effective_cnt,30,2.0,beta,1.902731384004355e-08,1.9698310613518687e-08,0.0
effective_cnt,30,2.0,beta,1.9698310613518687e-08,2.03929700371082e-08,0.0
effective_cnt,30,2.0,beta,2.03929700371082e-08,2.111212657236633e-08,0.0
effective_cnt,30,2.0,beta,2.111212657236633e-08,2.1856644108070324e-08,0.0
effective_cnt,30,2.0,beta,2.1856644108070324e-08,2.2627416997969535e-08,0.0
effective_cnt,30,2.0,beta,2.2627416997969535e-08,2.342537113513004e-08,0.0
effective_cnt,30,2.0,beta,2.342537113513004e-08,2.4251465064166375e-08,0.0
effective_cnt,30,2.0,beta,2.4251465064166375e-08,2.510669113269605e-08,0.0
effective_cnt,30,2.0,beta,2.510669113269605e-08,2.5992076683399532e-08,0.0
effective_cnt,30,2.0,beta,2.5992076683399532e-08,2.6908685288118884e-08,0.0
effective_cnt,30,2.0,beta,2.6908685288118884e-08,2.7857618025476012e-08,0.0
effective_cnt,30,2.0,beta,2.7857618025476012e-08,2.8840014803546574e-08,0.0
effective_cnt,30,2.0,beta,2.8840014803546574e-08,2.985705572917787e-08,0.0
effective_cnt,30,2.0,beta,2.985705572917787e-08,3.090996252559505e-08,0.0
effective_cnt,30,2.0,beta,3.090996252559505e-08,3.200000000000002e-08,0.0
effective_cnt,30,2.0,beta,3.200000000000002e-08,3.312847756292413e-08,0.0
effective_cnt,30,2.0,beta,3.312847756292413e-08,3.4296750801161394e-08,0.0
effective_cnt,30,2.0,beta,3.4296750801161394e-08,3.550622310617108e-08,0.0
effective_cnt,30,2.0,beta,3.550622310617108e-08,3.675834735990512e-08,0.0
effective_cnt,30,2.0,beta,3.675834735990512e-08,3.8054627680087104e-08,0.0
effective_cnt,30,2.0,beta,3.8054627680087104e-08,3.939662122703738e-08,0.0
effective_cnt,30,2.0,beta,3.939662122703738e-08,4.0785940074216404e-08,0.0
effective_cnt,30,2.0,beta,4.0785940074216404e-08,4.2224253144732665e-08,0.0
effective_cnt,30,2.0,beta,4.2224253144732665e-08,4.3713288216140654e-08,0.0
effective_cnt,30,2.0,beta,4.3713288216140654e-08,4.5254833995939076e-08,0.0
effective_cnt,30,2.0,beta,4.5254833995939076e-08,4.685074227026009e-08,0.0
effective_cnt,30,2.0,beta,4.685074227026009e-08,4.8502930128332756e-08,0.0
effective_cnt,30,2.0,beta,4.8502930128332756e-08,5.021338226539211e-08,0.0
effective_cnt,30,2.0,beta,5.021338226539211e-08,5.198415336679907e-08,0.0
effective_cnt,30,2.0,beta,5.198415336679907e-08,5.3817370576237775e-08,0.0
effective_cnt,30,2.0,beta,5.3817370576237775e-08,5.571523605095203e-08,0.0
effective_cnt,30,2.0,beta,5.571523605095203e-08,5.768002960709316e-08,0.0
effective_cnt,30,2.0,beta,5.768002960709316e-08,5.971411145835575e-08,0.0
effective_cnt,30,2.0,beta,5.971411145835575e-08,6.181992505119012e-08,0.0
effective_cnt,30,2.0,beta,6.181992505119012e-08,6.400000000000006e-08,0.0
effective_cnt,30,2.0,beta,6.400000000000006e-08,6.625695512584827e-08,0.0
effective_cnt,30,2.0,beta,6.625695512584827e-08,6.859350160232279e-08,0.0
effective_cnt,30,2.0,beta,6.859350160232279e-08,7.101244621234216e-08,0.0
effective_cnt,30,2.0,beta,7.101244621234216e-08,7.351669471981024e-08,0.0
effective_cnt,30,2.0,beta,7.351669471981024e-08,7.610925536017421e-08,0.0
effective_cnt,30,2.0,beta,7.610925536017421e-08,7.879324245407478e-08,0.0
effective_cnt,30,2.0,beta,7.879324245407478e-08,8.157188014843281e-08,0.0
effective_cnt,30,2.0,beta,8.157188014843281e-08,8.444850628946534e-08,0.0
effective_cnt,30,2.0,beta,8.444850628946534e-08,8.742657643228132e-08,0.0
effective_cnt,30,2.0,beta,8.742657643228132e-08,9.050966799187817e-08,0.0
effective_cnt,30,2.0,beta,9.050966799187817e-08,9.370148454052019e-08,0.0
effective_cnt,30,2.0,beta,9.370148454052019e-08,9.700586025666553e-08,0.0
effective_cnt,30,2.0,beta,9.700586025666553e-08,1.0042676453078402e-07,0.0
effective_cnt,30,2.0,beta,1.0042676453078402e-07,1.0396830673359816e-07,0.0
effective_cnt,30,2.0,beta,1.0396830673359816e-07,1.0763474115247556e-07,0.0
effective_cnt,30,2.0,beta,1.0763474115247556e-07,1.1143047210190408e-07,0.0
effective_cnt,30,2.0,beta,1.1143047210190408e-07,1.1536005921418633e-07,0.0
effective_cnt,30,2.0,beta,1.1536005921418633e-07,1.1942822291671127e-07,0.0
effective_cnt,30,2.0,beta,1.1942822291671127e-07,1.2363985010238024e-07,0.0
effective_cnt,30,2.0,beta,1.2363985010238024e-07,1.28e-07,0.0
effective_cnt,30,4.0,beta,1e-09,1.0352649238413784e-09,0.0
effective_cnt,30,4.0,beta,1.0352649238413784e-09,1.071773462536295e-09,0.0
effective_cnt,30,4.0,beta,1.071773462536295e-09,1.1095694720678432e-09,0.0
effective_cnt,30,4.0,beta,1.1095694720678432e-09,1.1486983549970341e-09,0.0
effective_cnt,30,4.0,beta,1.1486983549970341e-09,1.1892071150027212e-09,0.0
effective_cnt,30,4.0,beta,1.1892071150027212e-09,1.2311444133449173e-09,0.0
effective_cnt,30,4.0,beta,1.2311444133449173e-09,1.2745606273192643e-09,0.0
effective_cnt,30,4.0,beta,1.2745606273192643e-09,1.3195079107728923e-09,0.0
effective_cnt,30,4.0,beta,1.3195079107728923e-09,1.3660402567543944e-09,0.0
effective_cnt,30,4.0,beta,1.3660402567543944e-09,1.4142135623730951e-09,0.0
effective_cnt,30,4.0,beta,1.4142135623730951e-09,1.4640856959456267e-09,0.0
effective_cnt,30,4.0,beta,1.4640856959456267e-09,1.5157165665104007e-09,0.0
effective_cnt,30,4.0,beta,1.5157165665104007e-09,1.569168195793499e-09,0.0
effective_cnt,30,4.0,beta,1.569168195793499e-09,1.62450479271247e-09,0.0
effective_cnt,30,4.0,beta,1.62450479271247e-09,1.6817928305074292e-09,0.0
effective_cnt,30,4.0,beta,1.6817928305074292e-09,1.74110112659225e-09,0.0
effective_cnt,30,4.0,beta,1.74110112659225e-09,1.8025009252216637e-09,0.0
effective_cnt,30,4.0,beta,1.8025009252216637e-09,1.866065983073612e-09,0.0
effective_cnt,30,4.0,beta,1.866065983073612e-09,1.93187265784969e-09,0.0
effective_cnt,30,4.0,beta,1.93187265784969e-09,2e-09,0.0
effective_cnt,30,4.0,beta,2e-09,2.070529847682757e-09,0.0
effective_cnt,30,4.0,beta,2.070529847682757e-09,2.14354692507259e-09,0.0
effective_cnt,30,4.0,beta,2.14354692507259e-09,2.219138944135687e-09,0.0
effective_cnt,30,4.0,beta,2.219138944135687e-09,2.2973967099940687e-09,0.0
effective_cnt,30,4.0,beta,2.2973967099940687e-09,2.3784142300054427e-09,0.0
effective_cnt,30,4.0,beta,2.3784142300054427e-09,2.462288826689835e-09,0.0
effective_cnt,30,4.0,beta,2.462288826689835e-09,2.549121254638529e-09,0.0
effective_cnt,30,4.0,beta,2.549121254638529e-09,2.6390158215457845e-09,0.0
effective_cnt,30,4.0,beta,2.6390158215457845e-09,2.7320805135087893e-09,0.0
effective_cnt,30,4.0,beta,2.7320805135087893e-09,2.8284271247461906e-09,0.0
effective_cnt,30,4.0,beta,2.8284271247461906e-09,2.9281713918912538e-09,0.0
effective_cnt,30,4.0,beta,2.9281713918912538e-09,3.031433133020802e-09,0.0
effective_cnt,30,4.0,beta,3.031433133020802e-09,3.1383363915869985e-09,0.0
effective_cnt,30,4.0,beta,3.1383363915869985e-09,3.2490095854249403e-09,0.0
effective_cnt,30,4.0,beta,3.2490095854249403e-09,3.363585661014859e-09,0.0
effective_cnt,30,4.0,beta,3.363585661014859e-09,3.4822022531845003e-09,0.0
effective_cnt,30,4.0,beta,3.4822022531845003e-09,3.605001850443328e-09,0.0
effective_cnt,30,4.0,beta,3.605001850443328e-09,3.732131966147225e-09,0.0
effective_cnt,30,4.0,beta,3.732131966147225e-09,3.86374531569938e-09,0.0
effective_cnt,30,4.0,beta,3.86374531569938e-09,4.000000000000001e-09,0.0
effective_cnt,30,4.0,beta,4.000000000000001e-09,4.141059695365514e-09,0.0
effective_cnt,30,4.0,beta,4.141059695365514e-09,4.287093850145181e-09,0.0
effective_cnt,30,4.0,beta,4.287093850145181e-09,4.438277888271374e-09,0.0
effective_cnt,30,4.0,beta,4.438277888271374e-09,4.594793419988137e-09,0.0
effective_cnt,30,4.0,beta,4.594793419988137e-09,4.7568284600108855e-09,0.0
effective_cnt,30,4.0,beta,4.7568284600108855e-09,4.924577653379671e-09,0.0
effective_cnt,30,4.0,beta,4.924577653379671e-09,5.098242509277059e-09,0.0
effective_cnt,30,4.0,beta,5.098242509277059e-09,5.27803164309157e-09,0.0
effective_cnt,30,4.0,beta,5.27803164309157e-09,5.464161027017579e-09,0.0
effective_cnt,30,4.0,beta,5.464161027017579e-09,5.656854249492382e-09,0.0
effective_cnt,30,4.0,beta,5.656854249492382e-09,5.856342783782508e-09,0.0
effective_cnt,30,4.0,beta,5.856342783782508e-09,6.0628662660416044e-09,0.0
effective_cnt,30,4.0,beta,6.0628662660416044e-09,6.276672783173998e-09,0.0
effective_cnt,30,4.0,beta,6.276672783173998e-09,6.4980191708498814e-09,0.0
effective_cnt,30,4.0,beta,6.4980191708498814e-09,6.7271713220297186e-09,0.0
effective_cnt,30,4.0,beta,6.7271713220297186e-09,6.9644045063690015e-09,0.0
effective_cnt,30,4.0,beta,6.9644045063690015e-09,7.210003700886657e-09,0.0
effective_cnt,30,4.0,beta,7.210003700886657e-09,7.46426393229445e-09,0.0
effective_cnt,30,4.0,beta,7.46426393229445e-09,7.727490631398761e-09,0.0
effective_cnt,30,4.0,beta,7.727490631398761e-09,8.000000000000004e-09,0.0
effective_cnt,30,4.0,beta,8.000000000000004e-09,8.28211939073103e-09,0.0
effective_cnt,30,4.0,beta,8.28211939073103e-09,8.574187700290363e-09,0.0
effective_cnt,30,4.0,beta,8.574187700290363e-09,8.876555776542749e-09,0.0
effective_cnt,30,4.0,beta,8.876555776542749e-09,9.189586839976276e-09,0.0
effective_cnt,30,4.0,beta,9.189586839976276e-09,9.513656920021773e-09,0.0
effective_cnt,30,4.0,beta,9.513656920021773e-09,9.849155306759342e-09,0.0
effective_cnt,30,4.0,beta,9.849155306759342e-09,1.0196485018554098e-08,0.0
effective_cnt,30,4.0,beta,1.0196485018554098e-08,1.0556063286183163e-08,0.0
effective_cnt,30,4.0,beta,1.0556063286183163e-08,1.092832205403516e-08,0.0
effective_cnt,30,4.0,beta,1.092832205403516e-08,1.1313708498984766e-08,0.0
effective_cnt,30,4.0,beta,1.1313708498984766e-08,1.1712685567565018e-08,0.0
effective_cnt,30,4.0,beta,1.1712685567565018e-08,1.2125732532083186e-08,0.0
effective_cnt,30,4.0,beta,1.2125732532083186e-08,1.2553345566348024e-08,0.0
effective_cnt,30,4.0,beta,1.2553345566348024e-08,1.2996038341699765e-08,0.0
effective_cnt,30,4.0,beta,1.2996038341699765e-08,1.3454342644059439e-08,0.0
effective_cnt,30,4.0,beta,1.3454342644059439e-08,1.3928809012738005e-08,0.0
effective_cnt,30,4.0,beta,1.3928809012738005e-08,1.4420007401773285e-08,0.0
effective_cnt,30,4.0,beta,1.4420007401773285e-08,1.492852786458893e-08,0.0
effective_cnt,30,4.0,beta,1.492852786458893e-08,1.5454981262797523e-08,0.0
effective_cnt,30,4.0,beta,1.5454981262797523e-08,1.6000000000000008e-08,0.0
effective_cnt,30,4.0,beta,1.6000000000000008e-08,1.6564238781462064e-08,0.0
effective_cnt,30,4.0,beta,1.6564238781462064e-08,1.7148375400580694e-08,0.0
effective_cnt,30,4.0,beta,1.7148375400580694e-08,1.7753111553085538e-08,0.0
